slot,value
0,20
32,45
48,35
64,60
84,25
96,20
128,45
144,35
160,60
180,25
192,20
224,45
240,35
256,60
276,25
288,20
320,45
336,35
352,60
372,25
384,20
416,45
432,35
448,60
468,25
480,20
512,45
528,35
544,60
564,25
576,20
608,45
624,35
640,60
660,25
672,20
704,45
720,35
736,60
756,25
768,20
800,45
816,35
832,60
852,25
864,20
896,45
912,35
928,60
948,25
960,20
992,45
1008,35
1024,60
1044,25
1056,20
1088,45
1104,35
1120,60
1140,25
1152,20
1184,45
1200,35
1216,60
1236,25
1248,20
1280,45
1296,35
1312,60
1332,25
1344,20
1376,45
1392,35
1408,60
1428,25
1440,20
1472,45
1488,35
1504,60
1524,25
1536,20
1568,45
1584,35
1600,60
1620,25
1632,20
1664,45
1680,35
1696,60
1716,25
1728,20
1760,45
1776,35
1792,60
1812,25
1824,20
1856,45
1872,35
1888,60
1908,25
1920,20
1952,45
1968,35
1984,60
2004,25
2016,20
2048,45
2064,35
2080,60
2100,25
2112,20
2144,45
2160,35
2176,60
2196,25
2208,20
2240,45
2256,35
2272,60
2292,25
2304,20
2336,45
2352,35
2368,60
2388,25
2400,20
2432,45
2448,35
2464,60
2484,25
2496,20
2528,45
2544,35
2560,60
2580,25
2592,20
2624,45
2640,35
2656,60
2676,25
2688,20
2720,45
2736,35
2752,60
2772,25
2784,20
2816,45
2832,35
2848,60
2868,25
