vehicle_id,arrival_slot,departure_slot,battery_kwh,soc_arrival_kwh,soc_target_kwh,max_charge_kw,max_discharge_kw,min_soc_kwh,depletion_kwh
0,36,68,60,25,45,11,11,6,12
2,40,78,100,90,40,20,20,10,5
3,32,80,60,8,55,20,0,5,30
7,68,88,30,10,25,6,0,3,10
1,72,128,80,30,60,19,19,8,15
6,88,120,50,20,30,10,10,15,8
0,132,164,60,25,45,11,11,6,12
2,136,174,100,90,40,20,20,10,5
3,128,176,60,8,55,20,0,5,30
7,164,184,30,10,25,6,0,3,10
1,168,224,80,30,60,19,19,8,15
6,184,216,50,20,30,10,10,15,8
0,228,260,60,25,45,11,11,6,12
2,232,270,100,90,40,20,20,10,5
3,224,272,60,8,55,20,0,5,30
7,260,280,30,10,25,6,0,3,10
1,264,320,80,30,60,19,19,8,15
6,280,312,50,20,30,10,10,15,8
0,324,356,60,25,45,11,11,6,12
2,328,366,100,90,40,20,20,10,5
3,320,368,60,8,55,20,0,5,30
7,356,376,30,10,25,6,0,3,10
1,360,416,80,30,60,19,19,8,15
6,376,408,50,20,30,10,10,15,8
0,420,452,60,25,45,11,11,6,12
2,424,462,100,90,40,20,20,10,5
3,416,464,60,8,55,20,0,5,30
7,452,472,30,10,25,6,0,3,10
1,456,512,80,30,60,19,19,8,15
6,472,504,50,20,30,10,10,15,8
0,516,548,60,25,45,11,11,6,12
2,520,558,100,90,40,20,20,10,5
3,512,560,60,8,55,20,0,5,30
7,548,568,30,10,25,6,0,3,10
1,552,608,80,30,60,19,19,8,15
6,568,600,50,20,30,10,10,15,8
0,612,644,60,25,45,11,11,6,12
2,616,654,100,90,40,20,20,10,5
3,608,656,60,8,55,20,0,5,30
7,644,664,30,10,25,6,0,3,10
1,648,704,80,30,60,19,19,8,15
6,664,696,50,20,30,10,10,15,8
0,708,740,60,25,45,11,11,6,12
2,712,750,100,90,40,20,20,10,5
3,704,752,60,8,55,20,0,5,30
7,740,760,30,10,25,6,0,3,10
1,744,800,80,30,60,19,19,8,15
6,760,792,50,20,30,10,10,15,8
0,804,836,60,25,45,11,11,6,12
2,808,846,100,90,40,20,20,10,5
3,800,848,60,8,55,20,0,5,30
7,836,856,30,10,25,6,0,3,10
1,840,896,80,30,60,19,19,8,15
6,856,888,50,20,30,10,10,15,8
0,900,932,60,25,45,11,11,6,12
2,904,942,100,90,40,20,20,10,5
3,896,944,60,8,55,20,0,5,30
7,932,952,30,10,25,6,0,3,10
1,936,992,80,30,60,19,19,8,15
6,952,984,50,20,30,10,10,15,8
0,996,1028,60,25,45,11,11,6,12
2,1000,1038,100,90,40,20,20,10,5
3,992,1040,60,8,55,20,0,5,30
7,1028,1048,30,10,25,6,0,3,10
1,1032,1088,80,30,60,19,19,8,15
6,1048,1080,50,20,30,10,10,15,8
0,1092,1124,60,25,45,11,11,6,12
2,1096,1134,100,90,40,20,20,10,5
3,1088,1136,60,8,55,20,0,5,30
7,1124,1144,30,10,25,6,0,3,10
1,1128,1184,80,30,60,19,19,8,15
6,1144,1176,50,20,30,10,10,15,8
0,1188,1220,60,25,45,11,11,6,12
2,1192,1230,100,90,40,20,20,10,5
3,1184,1232,60,8,55,20,0,5,30
7,1220,1240,30,10,25,6,0,3,10
1,1224,1280,80,30,60,19,19,8,15
6,1240,1272,50,20,30,10,10,15,8
0,1284,1316,60,25,45,11,11,6,12
2,1288,1326,100,90,40,20,20,10,5
3,1280,1328,60,8,55,20,0,5,30
7,1316,1336,30,10,25,6,0,3,10
1,1320,1376,80,30,60,19,19,8,15
6,1336,1368,50,20,30,10,10,15,8
0,1380,1412,60,25,45,11,11,6,12
2,1384,1422,100,90,40,20,20,10,5
3,1376,1424,60,8,55,20,0,5,30
7,1412,1432,30,10,25,6,0,3,10
1,1416,1472,80,30,60,19,19,8,15
6,1432,1464,50,20,30,10,10,15,8
0,1476,1508,60,25,45,11,11,6,12
2,1480,1518,100,90,40,20,20,10,5
3,1472,1520,60,8,55,20,0,5,30
7,1508,1528,30,10,25,6,0,3,10
1,1512,1568,80,30,60,19,19,8,15
6,1528,1560,50,20,30,10,10,15,8
0,1572,1604,60,25,45,11,11,6,12
2,1576,1614,100,90,40,20,20,10,5
3,1568,1616,60,8,55,20,0,5,30
7,1604,1624,30,10,25,6,0,3,10
1,1608,1664,80,30,60,19,19,8,15
6,1624,1656,50,20,30,10,10,15,8
0,1668,1700,60,25,45,11,11,6,12
2,1672,1710,100,90,40,20,20,10,5
3,1664,1712,60,8,55,20,0,5,30
7,1700,1720,30,10,25,6,0,3,10
1,1704,1760,80,30,60,19,19,8,15
6,1720,1752,50,20,30,10,10,15,8
0,1764,1796,60,25,45,11,11,6,12
2,1768,1806,100,90,40,20,20,10,5
3,1760,1808,60,8,55,20,0,5,30
7,1796,1816,30,10,25,6,0,3,10
1,1800,1856,80,30,60,19,19,8,15
6,1816,1848,50,20,30,10,10,15,8
0,1860,1892,60,25,45,11,11,6,12
2,1864,1902,100,90,40,20,20,10,5
3,1856,1904,60,8,55,20,0,5,30
7,1892,1912,30,10,25,6,0,3,10
1,1896,1952,80,30,60,19,19,8,15
6,1912,1944,50,20,30,10,10,15,8
0,1956,1988,60,25,45,11,11,6,12
2,1960,1998,100,90,40,20,20,10,5
3,1952,2000,60,8,55,20,0,5,30
7,1988,2008,30,10,25,6,0,3,10
1,1992,2048,80,30,60,19,19,8,15
6,2008,2040,50,20,30,10,10,15,8
0,2052,2084,60,25,45,11,11,6,12
2,2056,2094,100,90,40,20,20,10,5
3,2048,2096,60,8,55,20,0,5,30
7,2084,2104,30,10,25,6,0,3,10
1,2088,2144,80,30,60,19,19,8,15
6,2104,2136,50,20,30,10,10,15,8
0,2148,2180,60,25,45,11,11,6,12
2,2152,2190,100,90,40,20,20,10,5
3,2144,2192,60,8,55,20,0,5,30
7,2180,2200,30,10,25,6,0,3,10
1,2184,2240,80,30,60,19,19,8,15
6,2200,2232,50,20,30,10,10,15,8
0,2244,2276,60,25,45,11,11,6,12
2,2248,2286,100,90,40,20,20,10,5
3,2240,2288,60,8,55,20,0,5,30
7,2276,2296,30,10,25,6,0,3,10
1,2280,2336,80,30,60,19,19,8,15
6,2296,2328,50,20,30,10,10,15,8
0,2340,2372,60,25,45,11,11,6,12
2,2344,2382,100,90,40,20,20,10,5
3,2336,2384,60,8,55,20,0,5,30
7,2372,2392,30,10,25,6,0,3,10
1,2376,2432,80,30,60,19,19,8,15
6,2392,2424,50,20,30,10,10,15,8
0,2436,2468,60,25,45,11,11,6,12
2,2440,2478,100,90,40,20,20,10,5
3,2432,2480,60,8,55,20,0,5,30
7,2468,2488,30,10,25,6,0,3,10
1,2472,2528,80,30,60,19,19,8,15
6,2488,2520,50,20,30,10,10,15,8
0,2532,2564,60,25,45,11,11,6,12
2,2536,2574,100,90,40,20,20,10,5
3,2528,2576,60,8,55,20,0,5,30
7,2564,2584,30,10,25,6,0,3,10
1,2568,2624,80,30,60,19,19,8,15
6,2584,2616,50,20,30,10,10,15,8
0,2628,2660,60,25,45,11,11,6,12
2,2632,2670,100,90,40,20,20,10,5
3,2624,2672,60,8,55,20,0,5,30
7,2660,2680,30,10,25,6,0,3,10
1,2664,2720,80,30,60,19,19,8,15
6,2680,2712,50,20,30,10,10,15,8
0,2724,2756,60,25,45,11,11,6,12
2,2728,2766,100,90,40,20,20,10,5
3,2720,2768,60,8,55,20,0,5,30
7,2756,2776,30,10,25,6,0,3,10
1,2760,2816,80,30,60,19,19,8,15
6,2776,2808,50,20,30,10,10,15,8
0,2820,2852,60,25,45,11,11,6,12
2,2824,2862,100,90,40,20,20,10,5
3,2816,2864,60,8,55,20,0,5,30
7,2852,2872,30,10,25,6,0,3,10
4,236,252,40,15,35,7,0,4,20
4,908,924,40,15,35,7,0,4,20
4,1580,1596,40,15,35,7,0,4,20
4,2252,2268,40,15,35,7,0,4,20
5,240,248,50,20,40,20,0,5,0
