slot,value,tou
0,0.08,super-off-peak
24,0.15,off-peak
64,0.32,peak
84,0.15,off-peak
96,0.08,super-off-peak
120,0.15,off-peak
160,0.32,peak
180,0.15,off-peak
192,0.08,super-off-peak
216,0.15,off-peak
256,0.32,peak
276,0.15,off-peak
288,0.08,super-off-peak
312,0.15,off-peak
352,0.32,peak
372,0.15,off-peak
384,0.08,super-off-peak
408,0.15,off-peak
448,0.32,peak
468,0.15,off-peak
480,0.08,super-off-peak
504,0.15,off-peak
544,0.32,peak
564,0.15,off-peak
576,0.08,super-off-peak
600,0.15,off-peak
640,0.32,peak
660,0.15,off-peak
672,0.08,super-off-peak
696,0.15,off-peak
736,0.32,peak
756,0.15,off-peak
768,0.08,super-off-peak
792,0.15,off-peak
832,0.32,peak
852,0.15,off-peak
864,0.08,super-off-peak
888,0.15,off-peak
928,0.32,peak
948,0.15,off-peak
960,0.08,super-off-peak
984,0.15,off-peak
1024,0.32,peak
1044,0.15,off-peak
1056,0.08,super-off-peak
1080,0.15,off-peak
1120,0.32,peak
1140,0.15,off-peak
1152,0.08,super-off-peak
1176,0.15,off-peak
1216,0.32,peak
1236,0.15,off-peak
1248,0.08,super-off-peak
1272,0.15,off-peak
1312,0.32,peak
1332,0.15,off-peak
1344,0.08,super-off-peak
1368,0.15,off-peak
1408,0.32,peak
1428,0.15,off-peak
1440,0.08,super-off-peak
1464,0.15,off-peak
1504,0.32,peak
1524,0.15,off-peak
1536,0.08,super-off-peak
1560,0.15,off-peak
1600,0.32,peak
1620,0.15,off-peak
1632,0.08,super-off-peak
1656,0.15,off-peak
1696,0.32,peak
1716,0.15,off-peak
1728,0.08,super-off-peak
1752,0.15,off-peak
1792,0.32,peak
1812,0.15,off-peak
1824,0.08,super-off-peak
1848,0.15,off-peak
1888,0.32,peak
1908,0.15,off-peak
1920,0.08,super-off-peak
1944,0.15,off-peak
1984,0.32,peak
2004,0.15,off-peak
2016,0.08,super-off-peak
2040,0.15,off-peak
2080,0.32,peak
2100,0.15,off-peak
2112,0.08,super-off-peak
2136,0.15,off-peak
2176,0.32,peak
2196,0.15,off-peak
2208,0.08,super-off-peak
2232,0.15,off-peak
2272,0.32,peak
2292,0.15,off-peak
2304,0.08,super-off-peak
2328,0.15,off-peak
2368,0.32,peak
2388,0.15,off-peak
2400,0.08,super-off-peak
2424,0.15,off-peak
2464,0.32,peak
2484,0.15,off-peak
2496,0.08,super-off-peak
2520,0.15,off-peak
2560,0.32,peak
2580,0.15,off-peak
2592,0.08,super-off-peak
2616,0.15,off-peak
2656,0.32,peak
2676,0.15,off-peak
2688,0.08,super-off-peak
2712,0.15,off-peak
2752,0.32,peak
2772,0.15,off-peak
2784,0.08,super-off-peak
2808,0.15,off-peak
2848,0.32,peak
2868,0.15,off-peak
