datetime,time_seconds,power_kw,energy_kwh,power_kw_flexible,energy_kwh_flexible,power_kw_inflexible,energy_kwh_inflexible,building_id
2026-01-01 00:00:00,0,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 00:15:00,900,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 00:30:00,1800,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 00:45:00,2700,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 01:00:00,3600,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 01:15:00,4500,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 01:30:00,5400,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 01:45:00,6300,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 02:00:00,7200,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 02:15:00,8100,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 02:30:00,9000,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 02:45:00,9900,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 03:00:00,10800,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 03:15:00,11700,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 03:30:00,12600,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 03:45:00,13500,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 04:00:00,14400,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 04:15:00,15300,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 04:30:00,16200,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 04:45:00,17100,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 05:00:00,18000,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 05:15:00,18900,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 05:30:00,19800,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 05:45:00,20700,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 06:00:00,21600,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 06:15:00,22500,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 06:30:00,23400,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 06:45:00,24300,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 07:00:00,25200,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 07:15:00,26100,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 07:30:00,27000,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 07:45:00,27900,20.0,5.0,0.0,0.0,20.0,5.0,0
2026-01-01 08:00:00,28800,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 08:15:00,29700,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 08:30:00,30600,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 08:45:00,31500,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 09:00:00,32400,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 09:15:00,33300,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 09:30:00,34200,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 09:45:00,35100,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 10:00:00,36000,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 10:15:00,36900,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 10:30:00,37800,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 10:45:00,38700,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 11:00:00,39600,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 11:15:00,40500,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 11:30:00,41400,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 11:45:00,42300,45.0,11.25,25.0,6.25,20.0,5.0,0
2026-01-01 12:00:00,43200,45.0,11.25,25.0,6.25,20.0,5.0,0
